"","Year","Country","Energy type","Generation (TWh)"
"244",2000,"Hungary","Other fossil",4.576
"245",2000,"Hungary","Nuclear",14.18
"246",2000,"Hungary","Renewables",0.242778
"247",2000,"Hungary","Hydro",0.178
"248",2000,"Hungary","Wind and solar",0
"249",2000,"Hungary","Wind",0
"250",2000,"Hungary","Solar",0
"251",2000,"Hungary","Bioenergy",0.0647779999999999
"252",2000,"Hungary","Other renewables",0
"253",2000,"Hungary","Production",35.190778
"254",2000,"Hungary","Net imports",3.43999999999999
"255",2000,"Hungary","Demand",38.630778
"256",2000,"Ireland","Fossil",22.488
"257",2000,"Ireland","Coal",6.817
"258",2000,"Ireland","Hard Coal",6.817
"259",2000,"Ireland","Lignite",0
"260",2000,"Ireland","Gas",9.263
"261",2000,"Ireland","Other fossil",6.408
"262",2000,"Ireland","Nuclear",0
"263",2000,"Ireland","Renewables",1.186
"264",2000,"Ireland","Hydro",0.847
"265",2000,"Ireland","Wind and solar",0.244
"266",2000,"Ireland","Wind",0.244
"267",2000,"Ireland","Solar",0
"268",2000,"Ireland","Bioenergy",0.095
"269",2000,"Ireland","Other renewables",0
"270",2000,"Ireland","Production",23.674
"271",2000,"Ireland","Net imports",0.098
"272",2000,"Ireland","Demand",23.772
"273",2000,"Italy","Fossil",218.275882
"274",2000,"Italy","Coal",26.272
"275",2000,"Italy","Hard Coal",26.266
"276",2000,"Italy","Lignite",0.006
"277",2000,"Italy","Gas",101.36
"278",2000,"Italy","Other fossil",90.6438819999999
"279",2000,"Italy","Nuclear",0
"280",2000,"Italy","Renewables",50.8791639999999
"281",2000,"Italy","Hydro",44.1994459999999
"282",2000,"Italy","Wind and solar",0.581
"283",2000,"Italy","Wind",0.563
"284",2000,"Italy","Solar",0.018
"285",2000,"Italy","Bioenergy",1.39371799999999
"286",2000,"Italy","Other renewables",4.705
"287",2000,"Italy","Production",269.155045999999
"288",2000,"Italy","Net imports",44.347
"289",2000,"Italy","Demand",313.502046
"290",2000,"Latvia","Fossil",1.313
"291",2000,"Latvia","Coal",0
"292",2000,"Latvia","Hard Coal",0
"293",2000,"Latvia","Lignite",0
"294",2000,"Latvia","Gas",1.128
"295",2000,"Latvia","Other fossil",0.185
"296",2000,"Latvia","Nuclear",0
"297",2000,"Latvia","Renewables",2.823574
"298",2000,"Latvia","Hydro",2.819157
"299",2000,"Latvia","Wind and solar",0.004417
"300",2000,"Latvia","Wind",0.004417
"301",2000,"Latvia","Solar",0
"302",2000,"Latvia","Bioenergy",0
"303",2000,"Latvia","Other renewables",0
"304",2000,"Latvia","Production",4.136574
"305",2000,"Latvia","Net imports",1.786
"306",2000,"Latvia","Demand",5.922574
"307",2000,"Lithuania","Fossil",2.271
"308",2000,"Lithuania","Coal",0
"309",2000,"Lithuania","Hard Coal",0
"310",2000,"Lithuania","Lignite",0
"311",2000,"Lithuania","Gas",1.616
"312",2000,"Lithuania","Other fossil",0.655
"313",2000,"Lithuania","Nuclear",8.419
"314",2000,"Lithuania","Renewables",0.339641999999999
"315",2000,"Lithuania","Hydro",0.339641999999999
"316",2000,"Lithuania","Wind and solar",0
"317",2000,"Lithuania","Wind",0
"318",2000,"Lithuania","Solar",0
"319",2000,"Lithuania","Bioenergy",0
"320",2000,"Lithuania","Other renewables",0
"321",2000,"Lithuania","Production",11.029642
"322",2000,"Lithuania","Net imports",-1.33599999999999
"323",2000,"Lithuania","Demand",9.693642
"324",2000,"Luxembourg","Fossil",0.248526
"325",2000,"Luxembourg","Coal",0
"326",2000,"Luxembourg","Hard Coal",0
"327",2000,"Luxembourg","Lignite",0
"328",2000,"Luxembourg","Gas",0.214561
"329",2000,"Luxembourg","Other fossil",0.033965
"330",2000,"Luxembourg","Nuclear",0
"331",2000,"Luxembourg","Renewables",0.170639
"332",2000,"Luxembourg","Hydro",0.123504
"333",2000,"Luxembourg","Wind and solar",0.0247829999999999
"334",2000,"Luxembourg","Wind",0.0247429999999999
"335",2000,"Luxembourg","Solar",4e-05
"336",2000,"Luxembourg","Bioenergy",0.022352
"337",2000,"Luxembourg","Other renewables",0
"338",2000,"Luxembourg","Production",0.419165
"339",2000,"Luxembourg","Net imports",5.708524
"340",2000,"Luxembourg","Demand",6.127689
"341",2000,"Malta","Fossil",1.917
"342",2000,"Malta","Coal",0
"343",2000,"Malta","Hard Coal",0
"344",2000,"Malta","Lignite",0
"345",2000,"Malta","Gas",0
"346",2000,"Malta","Other fossil",1.917
"347",2000,"Malta","Nuclear",0
"348",2000,"Malta","Renewables",0
"349",2000,"Malta","Hydro",0
"350",2000,"Malta","Wind and solar",0
"351",2000,"Malta","Wind",0
"352",2000,"Malta","Solar",0
"353",2000,"Malta","Bioenergy",0
"354",2000,"Malta","Other renewables",0
"355",2000,"Malta","Production",1.917
"356",2000,"Malta","Net imports",0
"357",2000,"Malta","Demand",1.917
"358",2000,"Netherlands","Fossil",82.486017
"359",2000,"Netherlands","Coal",24.276
"360",2000,"Netherlands","Hard Coal",24.276
"361",2000,"Netherlands","Lignite",0
"362",2000,"Netherlands","Gas",51.522
"363",2000,"Netherlands","Other fossil",6.68801699999999
"364",2000,"Netherlands","Nuclear",3.926
"365",2000,"Netherlands","Renewables",2.97100999999999
"366",2000,"Netherlands","Hydro",0.14243
"367",2000,"Netherlands","Wind and solar",0.836714
"368",2000,"Netherlands","Wind",0.829029999999999
"369",2000,"Netherlands","Solar",0.00768399999999999
